"features","fold"
"iqr_F0final_sma","stable"
"median_voicingFinalUnclipped_sma","stable"
"iqr_jitterLocal_sma","stable"
"iqr_jitterDDP_sma","stable"
"iqr_shimmerLocal_sma","stable"
"iqr_logHNR_sma","stable"
"iqr_audspecRasta_lengthL1norm_sma","stable"
"median_pcm_RMSenergy_sma","stable"
"iqr_pcm_RMSenergy_sma","stable"
"median_audSpec_Rfilt_sma_0_","stable"
"iqr_audSpec_Rfilt_sma_1_","stable"
"iqr_audSpec_Rfilt_sma_7_","stable"
"iqr_audSpec_Rfilt_sma_8_","stable"
"iqr_audSpec_Rfilt_sma_9_","stable"
"iqr_audSpec_Rfilt_sma_10_","stable"
"iqr_audSpec_Rfilt_sma_15_","stable"
"iqr_audSpec_Rfilt_sma_16_","stable"
"iqr_audSpec_Rfilt_sma_17_","stable"
"iqr_audSpec_Rfilt_sma_18_","stable"
"median_audSpec_Rfilt_sma_24_","stable"
"`iqr_pcm_fftMag_fband250-650_sma`","stable"
"iqr_pcm_fftMag_spectralRollOff25.0_sma","stable"
"median_pcm_fftMag_spectralFlux_sma","stable"
"iqr_pcm_fftMag_spectralSkewness_sma","stable"
"iqr_pcm_fftMag_spectralKurtosis_sma","stable"
"median_pcm_fftMag_spectralSlope_sma","stable"
"iqr_pcm_fftMag_spectralSlope_sma","stable"
"median_pcm_fftMag_spectralHarmonicity_sma","stable"
"iqr_pcm_fftMag_spectralHarmonicity_sma","stable"
"median_mfcc_sma_3_","stable"
"iqr_mfcc_sma_3_","stable"
"iqr_mfcc_sma_4_","stable"
"median_mfcc_sma_5_","stable"
"median_mfcc_sma_7_","stable"
"iqr_mfcc_sma_7_","stable"
"median_mfcc_sma_8_","stable"
"median_mfcc_sma_9_","stable"
"iqr_mfcc_sma_9_","stable"
"median_mfcc_sma_11_","stable"
"iqr_mfcc_sma_11_","stable"
"median_mfcc_sma_12_","stable"
"median_mfcc_sma_14_","stable"
"median_audspec_lengthL1norm_sma_de","stable"
"iqr_audspec_lengthL1norm_sma_de","stable"
"iqr_pcm_RMSenergy_sma_de","stable"
"iqr_audSpec_Rfilt_sma_de_0_","stable"
"median_audSpec_Rfilt_sma_de_25_","stable"
"iqr_pcm_fftMag_spectralFlux_sma_de","stable"
"iqr_pcm_fftMag_spectralEntropy_sma_de","stable"
"iqr_pcm_fftMag_spectralSkewness_sma_de","stable"
"iqr_pcm_fftMag_spectralSlope_sma_de","stable"
"iqr_pcm_fftMag_spectralHarmonicity_sma_de","stable"
"iqr_mfcc_sma_de_1_","stable"
"median_mfcc_sma_de_7_","stable"
"median_mfcc_sma_de_11_","stable"
"iqr_voicingFinalUnclipped_sma","stable"
"iqr_audSpec_Rfilt_sma_11_","stable"
"iqr_audSpec_Rfilt_sma_20_","stable"
"median_pcm_fftMag_spectralRollOff25.0_sma","stable"
"median_pcm_fftMag_spectralRollOff50.0_sma","stable"
"iqr_pcm_fftMag_spectralVariance_sma","stable"
"median_mfcc_sma_1_","stable"
"median_mfcc_sma_4_","stable"
"median_mfcc_sma_13_","stable"
"iqr_pcm_fftMag_spectralRollOff90.0_sma_de","stable"
"iqr_pcm_fftMag_spectralVariance_sma_de","stable"
